Date,Open,High,Low,Close,Adj Close,Volume
2019-04-02,186.509995,186.660004,183.679993,184.029999,182.595215,1553000
2019-04-03,185.589996,188.000000,184.279999,185.190002,183.746155,1263900
2019-04-04,184.800003,187.750000,184.800003,187.669998,186.206818,1303100
2019-04-05,187.929993,190.369995,187.259995,189.899994,188.419434,2301400
2019-04-08,189.139999,191.559998,188.399994,191.380005,189.887894,1595000
2019-04-09,189.899994,190.429993,188.850006,189.949997,188.469040,1435500
2019-04-10,190.000000,191.750000,189.500000,191.000000,189.510864,1069400
2019-04-11,191.350006,193.000000,190.960007,191.869995,190.374084,1541100
2019-04-12,194.000000,196.979996,193.179993,196.949997,195.414459,1651200
2019-04-15,197.000000,197.960007,195.550003,196.179993,194.650467,1829500
2019-04-16,196.250000,198.570007,195.869995,197.229996,195.692291,1457900
2019-04-17,198.479996,199.320007,196.919998,198.059998,196.515823,1116700
2019-04-18,198.470001,199.320007,197.820007,198.149994,196.605118,1391700
2019-04-22,197.080002,197.509995,195.199997,195.979996,194.452042,1529600
2019-04-23,195.520004,196.080002,194.639999,195.130005,193.608658,1727400
2019-04-24,195.100006,198.309998,194.550003,197.860001,196.317368,1511700
2019-04-25,195.759995,195.910004,188.630005,188.869995,187.397461,3086600
2019-04-26,185.240005,186.539993,182.889999,184.039993,182.605118,3638100
2019-04-29,184.509995,187.320007,183.160004,186.630005,185.174927,1471400
2019-04-30,186.940002,190.649994,185.559998,189.460007,187.982880,1562800
2019-05-01,189.729996,189.839996,185.619995,185.619995,184.172806,1432900
2019-05-02,185.360001,188.080002,182.809998,187.039993,185.581741,1477300
2019-05-03,188.720001,190.580002,187.750000,188.059998,186.593781,1229200
2019-05-06,183.210007,186.229996,181.610001,185.600006,184.152969,1290300
2019-05-07,183.259995,183.470001,178.110001,180.660004,179.251495,2152300
2019-05-08,180.059998,181.089996,178.300003,179.429993,178.031067,2029000
2019-05-09,177.380005,179.669998,175.940002,179.559998,178.160065,1601400
2019-05-10,178.759995,179.539993,174.809998,178.000000,176.612213,1475700
2019-05-13,172.809998,173.759995,170.789993,172.300003,170.956665,1781400
2019-05-14,172.600006,174.350006,170.740005,171.860001,170.520081,2248700
2019-05-15,170.130005,173.279999,167.460007,172.539993,171.194778,2314900
2019-05-16,173.039993,179.429993,172.869995,175.770004,174.399612,2676900
2019-05-17,171.960007,174.220001,169.649994,169.919998,168.595215,2235100
2019-05-20,168.229996,169.850006,167.320007,168.210007,166.898544,1672800
2019-05-21,169.500000,169.899994,167.460007,167.990005,166.680267,1889500
2019-05-22,166.759995,166.899994,161.929993,162.000000,160.736969,3021800
2019-05-23,160.100006,161.050003,158.169998,160.589996,159.337952,2498200
2019-05-24,161.750000,162.009995,158.679993,159.929993,158.683090,1348600
2019-05-28,158.979996,160.199997,156.809998,158.449997,157.214630,2528400
2019-05-29,157.690002,160.729996,156.220001,159.570007,158.325912,2045900
2019-05-30,159.779999,161.710007,157.000000,158.009995,156.778076,1670400
2019-05-31,154.899994,156.750000,153.789993,154.279999,153.077148,1912400
2019-06-03,151.160004,155.410004,150.679993,152.339996,151.152267,3918600
2019-06-04,154.020004,159.889999,153.710007,159.589996,158.345749,2854500
2019-06-05,161.000000,161.500000,157.770004,158.589996,157.353546,2241000
2019-06-06,158.300003,158.600006,155.600006,156.850006,155.627121,1585300
2019-06-07,157.229996,159.440002,156.250000,158.020004,156.787994,2129500
2019-06-10,159.779999,164.000000,159.699997,161.839996,160.578201,2054500
2019-06-11,163.460007,163.899994,158.850006,159.440002,158.196915,1857100
2019-06-12,158.729996,162.009995,158.080002,161.369995,160.111862,1412600
2019-06-13,163.000000,165.880005,162.869995,165.669998,164.378342,2239600
2019-06-14,165.199997,165.479996,162.259995,164.550003,163.267075,1590200
2019-06-17,164.470001,165.000000,163.059998,163.720001,162.443558,1313400
2019-06-18,165.009995,169.119995,164.710007,166.339996,165.043121,2184300
2019-06-19,166.679993,167.449997,165.669998,166.559998,165.261398,1608500
2019-06-20,168.389999,169.539993,166.789993,168.500000,167.186295,2087400
2019-06-21,167.729996,168.059998,165.130005,165.350006,164.696167,2527500
2019-06-24,164.000000,164.979996,160.580002,160.899994,160.263763,3563700
2019-06-25,159.970001,160.000000,155.979996,155.979996,155.363220,4793100
2019-06-26,156.449997,161.259995,153.509995,159.919998,159.287643,6247600
2019-06-27,160.399994,164.350006,160.039993,163.309998,162.664230,3460900
2019-06-28,164.229996,166.389999,164.000000,164.190002,163.540756,5311700
2019-07-01,168.020004,168.020004,161.559998,162.970001,162.325577,2346800
2019-07-02,163.070007,163.229996,159.509995,159.789993,159.158142,1860200
2019-07-03,160.389999,161.529999,159.339996,161.419998,160.781708,1180600
2019-07-05,161.080002,162.419998,159.520004,161.970001,161.329529,1125300
2019-07-08,160.259995,161.720001,159.039993,160.820007,160.184082,1586300
2019-07-09,159.410004,159.940002,158.690002,159.190002,158.560532,1218000
2019-07-10,162.169998,162.820007,159.759995,159.990005,159.357361,2077600
2019-07-11,160.110001,163.360001,159.759995,162.600006,161.957047,2499000
2019-07-12,164.630005,168.440002,164.309998,167.470001,166.807785,3310800
2019-07-15,167.509995,168.850006,166.270004,167.899994,167.236084,2021800
2019-07-16,168.820007,172.960007,168.820007,169.789993,169.118607,2744100
2019-07-17,169.570007,169.779999,164.740005,165.050003,164.397354,3074900
2019-07-18,164.639999,166.500000,163.759995,165.380005,164.726059,1681600
2019-07-19,166.169998,168.869995,166.149994,167.130005,166.469131,2067200
2019-07-22,168.539993,171.130005,168.240005,169.550003,168.879562,2130700
2019-07-23,171.000000,173.949997,171.000000,173.770004,173.082870,2866400
2019-07-24,174.789993,178.500000,174.419998,176.009995,175.314011,2679100
2019-07-25,175.600006,176.759995,174.630005,175.869995,175.174561,1985700
2019-07-26,175.800003,175.919998,173.800003,174.940002,174.248245,2003200
2019-07-29,174.529999,175.039993,171.699997,172.600006,171.917511,1389100
